id,title,date
181,Return of the Jedi (1983),858297600
182,GoodFellas (1990),631152000
183,Alien (1979),283996800
184,Army of Darkness (1993),725846400
185,Psycho (1960),-315619200
186,Blues Brothers, The (1980),315532800
187,Godfather: Part II, The (1974),126230400
188,Full Metal Jacket (1987),536457600
189,Grand Day Out, A (1992),694224000
190,Henry V (1989),599616000
191,Amadeus (1984),441763200
192,Raging Bull (1980),315532800
193,Right Stuff, The (1983),410227200
194,Sting, The (1973),94694400
195,Terminator, The (1984),441763200
196,Dead Poets Society (1989),599616000
197,Graduate, The (1967),-94694400
198,Nikita (La Femme Nikita) (1990),631152000
199,Bridge on the River Kwai, The (1957),-410227200
200,Shining, The (1980),315532800
201,Evil Dead II (1987),536457600
202,Groundhog Day (1993),725846400
203,Unforgiven (1992),694224000
204,Back to the Future (1985),473385600
205,Patton (1970),0
206,Akira (1988),567993600
207,Cyrano de Bergerac (1990),631152000
208,Young Frankenstein (1974),126230400
209,This Is Spinal Tap (1984),441763200
210,Indiana Jones and the Last Crusade (1989),599616000
211,M*A*S*H (1970),0
212,Unbearable Lightness of Being, The (1988),567993600
213,Room with a View, A (1986),504921600
214,Pink Floyd - The Wall (1982),378691200
215,Field of Dreams (1989),599616000
216,When Harry Met Sally... (1989),599616000
217,Bram Stoker's Dracula (1992),694224000
218,Cape Fear (1991),662688000
219,Nightmare on Elm Street, A (1984),441763200
220,Mirror Has Two Faces, The (1996),848016000
221,Breaking the Waves (1996),848016000
222,Star Trek: First Contact (1996),848620800
223,Sling Blade (1996),848620800
224,Ridicule (1996),849052800
225,101 Dalmatians (1996),849052800
226,Die Hard 2 (1990),631152000
227,Star Trek VI: The Undiscovered Country (1991),662688000
228,Star Trek: The Wrath of Khan (1982),378691200
229,Star Trek III: The Search for Spock (1984),441763200
230,Star Trek IV: The Voyage Home (1986),504921600
231,Batman Returns (1992),694224000
232,Young Guns (1988),567993600
233,Under Siege (1992),694224000
234,Jaws (1975),157766400
235,Mars Attacks! (1996),850435200
236,Citizen Ruth (1996),850435200
237,Jerry Maguire (1996),850435200
238,Raising Arizona (1987),536457600
239,Sneakers (1992),694224000
240,Beavis and Butt-head Do America (1996),851040000
241,Last of the Mohicans, The (1992),694224000
242,Kolya (1996),854064000
243,Jungle2Jungle (1997),857692800
244,Smilla's Sense of Snow (1997),858297600
245,Devil's Own, The (1997),859334400
246,Chasing Amy (1997),852076800
247,Turbo: A Power Rangers Movie (1997),859507200
248,Grosse Pointe Blank (1997),860716800
249,Austin Powers: International Man of Mystery (1997),862531200
250,Fifth Element, The (1997),863136000
251,Shall We Dance? (1996),868579200
252,Lost World: Jurassic Park, The (1997),864345600
253,Pillow Book, The (1995),866160000
254,Batman & Robin (1997),866764800
255,My Best Friend's Wedding (1997),866764800
256,When the Cats Away (Chacun cherche son chat) (1996),866764800
257,Men in Black (1997),867974400
258,Contact (1997),868579200
259,George of the Jungle (1997),852076800
260,Event Horizon (1997),852076800
261,Air Bud (1997),870393600
262,In the Company of Men (1997),870393600
263,Steel (1997),871603200
264,Mimic (1997),872208000
265,Hunt for Red October, The (1990),631152000
266,Kull the Conqueror (1997),872812800
268,Chasing Amy (1997),852076800
269,Full Monty, The (1997),852076800
270,Gattaca (1997),852076800
271,Starship Troopers (1997),852076800
272,Good Will Hunting (1997),852076800
273,Heat (1995),788918400
274,Sabrina (1995),788918400
275,Sense and Sensibility (1995),788918400
276,Leaving Las Vegas (1995),788918400
277,Restoration (1995),788918400
278,Bed of Roses (1996),820454400
279,Once Upon a Time... When We Were Colored (1995),788918400
280,Up Close and Personal (1996),825638400
281,River Wild, The (1994),757382400
282,Time to Kill, A (1996),837216000
283,Emma (1996),838944000
284,Tin Cup (1996),840153600
285,Secrets & Lies (1996),844387200
286,English Patient, The (1996),848016000
287,Marvin's Room (1996),850867200
288,Scream (1996),851040000
289,Evita (1996),851472000
290,Fierce Creatures (1997),852854400
291,Absolute Power (1997),855878400
292,Rosewood (1997),856483200
293,Donnie Brasco (1997),857088000
294,Liar Liar (1997),858902400
295,Breakdown (1997),862531200
296,Promesse, La (1996),863740800
297,Ulee's Gold (1997),852076800
298,Face/Off (1997),867369600
299,Hoodlum (1997),872208000
300,Air Force One (1997),852076800
301,In & Out (1997),874627200
302,L.A. Confidential (1997),852076800
303,Ulee's Gold (1997),852076800
304,Fly Away Home (1996),842572800
305,Ice Storm, The (1997),852076800
306,Mrs. Brown (Her Majesty, Mrs. Brown) (1997),852076800
307,Devil's Advocate, The (1997),852076800
308,FairyTale: A True Story (1997),852076800
309,Deceiver (1997),852076800
310,Rainmaker, The (1997),852076800
311,Wings of the Dove, The (1997),852076800
312,Midnight in the Garden of Good and Evil (1997),852076800
313,Titanic (1997),852076800
314,3 Ninjas: High Noon At Mega Mountain (1998),852076800
315,Apt Pupil (1998),909100800
316,As Good As It Gets (1997),882835200
317,In the Name of the Father (1993),725846400
318,Schindler's List (1993),725846400
319,Everyone Says I Love You (1996),849830400
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),849830400
321,Mother (1996),851472000
322,Murder at 1600 (1997),861321600
323,Dante's Peak (1997),855273600
324,Lost Highway (1997),856483200
325,Crash (1996),858902400
326,G.I. Jane (1997),852076800
327,Cop Land (1997),852076800
328,Conspiracy Theory (1997),870998400
329,Desperate Measures (1998),886118400
330,187 (1997),852076800
331,Edge, The (1997),875232000
332,Kiss the Girls (1997),852076800
333,Game, The (1997),852076800
334,U Turn (1997),852076800
335,How to Be a Player (1997),852076800
336,Playing God (1997),852076800
337,House of Yes, The (1997),852076800
338,Bean (1997),852076800
339,Mad City (1997),852076800
340,Boogie Nights (1997),852076800
341,Critical Care (1997),852076800
342,Man Who Knew Too Little, The (1997),852076800
343,Alien: Resurrection (1997),852076800
344,Apostle, The (1997),882403200
345,Deconstructing Harry (1997),852076800
346,Jackie Brown (1997),852076800
347,Wag the Dog (1997),884304000
348,Desperate Measures (1998),886118400
349,Hard Rain (1998),884908800
350,Fallen (1998),884908800
351,Prophecy II, The (1998),884908800
352,Spice World (1997),852076800
353,Deep Rising (1998),886118400
354,Wedding Singer, The (1998),887328000
355,Sphere (1998),887328000
356,Client, The (1994),757382400
357,One Flew Over the Cuckoo's Nest (1975),157766400
358,Spawn (1997),870393600
359,Assignment, The (1997),852076800
360,Wonderland (1997),852076800
361,Incognito (1997),852076800
362,Blues Brothers 2000 (1998),886723200
363,Sudden Death (1995),788918400
364,Ace Ventura: When Nature Calls (1995),788918400
365,Powder (1995),788918400
366,Dangerous Minds (1995),788918400
367,Clueless (1995),788918400
368,Bio-Dome (1996),820454400
369,Black Sheep (1996),823219200
370,Mary Reilly (1996),825033600
371,Bridges of Madison County, The (1995),823824000
372,Jeffrey (1995),788918400
373,Judge Dredd (1995),788918400
374,Mighty Morphin Power Rangers: The Movie (1995),788918400
375,Showgirls (1995),788918400
376,Houseguest (1994),757382400
377,Heavyweights (1994),757382400
378,Miracle on 34th Street (1994),757382400
379,Tales From the Crypt Presents: Demon Knight (1995),788918400
380,Star Trek: Generations (1994),757382400
381,Muriel's Wedding (1994),757382400
382,Adventures of Priscilla, Queen of the Desert, The (1994),757382400
383,Flintstones, The (1994),757382400
384,Naked Gun 33 1/3: The Final Insult (1994),757382400
385,True Lies (1994),757382400
386,Addams Family Values (1993),725846400
387,Age of Innocence, The (1993),725846400
388,Beverly Hills Cop III (1994),757382400
389,Black Beauty (1994),757382400
390,Fear of a Black Hat (1993),725846400
391,Last Action Hero (1993),725846400
392,Man Without a Face, The (1993),725846400
393,Mrs. Doubtfire (1993),725846400
394,Radioland Murders (1994),757382400
395,Robin Hood: Men in Tights (1993),725846400
396,Serial Mom (1994),757382400
397,Striking Distance (1993),725846400
398,Super Mario Bros. (1993),725846400
399,Three Musketeers, The (1993),725846400
400,Little Rascals, The (1994),757382400
401,Brady Bunch Movie, The (1995),788918400
